month,strategy,selected_tickers,avg_score,return_1m,return_2m,return_3m,future_max_return_1_3m,boom_hit_rate,equity_1m_rebalanced
2025-01-31,xgb_boom_probability,"SOUN, OKLO, SMR",0.8389048200000001,-0.23727577261904312,-0.43745391476394774,-0.35929221640275033,-0.23727577261904312,0.0,0.7627242273809569
2025-02-28,xgb_boom_probability,"FLNC, SOUN, SMR",0.8870986799999999,-0.19263369161511668,-0.15414576535990612,0.2056748986747415,0.21441616329417057,0.3333333333333333,0.6157978437762756
2025-03-31,xgb_boom_probability,"PLTR, OKLO, SMR",0.8358869666666667,0.2236883339220291,1.0859702799235755,1.3324953310388776,1.3324953310388776,0.6666666666666666,0.7535446374833685
2025-04-30,xgb_boom_probability,"SOUN, PLTR, CRWD",0.8524741166666666,0.0999984619051037,0.16451018696103523,0.16961238784821828,0.22651063254583773,0.0,0.8288979422085444
2025-05-31,xgb_boom_probability,"NET, OKLO, PLTR",0.8190602966666667,0.09231942814315235,0.3021023666036025,0.2813717345969253,0.3041720393624098,0.0,0.9054213262222729
2025-06-30,xgb_boom_probability,"OKLO, SMCI, SMR",0.8293909866666667,0.2801192974348006,0.012900575687402757,0.2939755269638223,0.4887279767531259,0.3333333333333333,1.1590473120061413
2025-07-31,xgb_boom_probability,"SMCI, OKLO, GEV",0.78028428,-0.13525209827930704,0.06723809220389791,0.1670660277980881,0.18196659648262045,0.3333333333333333,1.00228373105232
2025-08-31,xgb_boom_probability,"SMR, PLTR, SMCI",0.8666413533333334,0.11903008179971508,0.27501126122400904,-0.1776689642494247,0.27501126122400904,0.0,1.1215856455460012
2025-09-30,xgb_boom_probability,"SOUN, OKLO, FLNC",0.83047868,0.40986376506139605,0.12883123386610112,0.031448129875468966,0.40986376506139605,0.3333333333333333,1.5812829610683017
2025-10-31,xgb_boom_probability,"LRCX, ORCL, ARM",0.8300756833333334,-0.14733471867669193,-0.17506411165597194,-0.08870324354978541,0.017457095769602655,0.3333333333333333,1.348305080851057
2025-11-30,xgb_boom_probability,"FSLY, SMR, FLNC",0.8020351699999999,-0.1371004189513829,0.0780037112030653,0.02451222192552981,0.36016497387878216,0.6666666666666666,1.1634518893920989
2025-12-31,xgb_boom_probability,"FLNC, OKLO, SMR",0.8230263966666667,0.2995785110035664,-0.1434276191408795,-0.2827659557788493,0.2995785110035664,0.3333333333333333,1.51199707404047
2026-01-31,xgb_boom_probability,"FLNC, SNOW, MU",0.77345832,-0.20902112121142427,-0.31849796229402166,-0.21630261689865252,-0.12465356928362042,0.0,1.195957750356138
2026-02-28,xgb_boom_probability,"FSLY, FLNC, INTC",0.8799477066666667,0.1242940902789161,0.3920425012666615,0.5528072497266961,0.7497214683550605,0.3333333333333333,1.344608230948673
2026-03-31,xgb_boom_probability,"FLNC, MU, FSLY",0.8140944066666668,0.09500736799552001,0.6191853170856516,0.8310800950621147,0.9101693205396284,0.3333333333333333,1.472355919956219
2026-04-30,xgb_boom_probability,"FSLY, ARM, AOSL",0.7310157133333334,0.14246925116187845,0.1675480448433332,-0.07742545696663643,0.22430247472456052,0.0,1.6821213653161402
